Timestamp,What is your main discipline?,What sector do you work in?,What industry does your work related to?,What is your highest level of formal education?,How many years experience do you have working with subsurface data?,Do you think you have conceptual or other biases that impact your work?,Do you publish academic or industry literature?,Do you think there is a reproducibility problem in subsurface geoscience? Reproducibility = the ability to reproduce the results of your own or others' work.,"How much of the geoscience literature, do you think is reproducible? (0 = none, 10 = all)",Have you tried to reproduce your own results at a later date?,If yes please detail.,Have you tried to reproduce others' published results?,If yes please detail.,Have you published (or tried to publish) positive or negative replication findings?,If yes please detail.,Do you regularly write computer code as part of your work?,What practicalities make published results difficult to reproduce? [Access to data],What practicalities make published results difficult to reproduce? [Access to software],What practicalities make published results difficult to reproduce? [Assess to code],What practicalities make published results difficult to reproduce? [Access to journals],What practicalities make published results difficult to reproduce? [Journal standards],What practicalities make published results difficult to reproduce? [Lack of funding for reproducibility studies],What practicalities make published results difficult to reproduce? [Methods undocumented],What practicalities make published results difficult to reproduce? [Confidentiality/copyright issues],Please specify any other factors you think are important?,What factors contribute to irreproducible publications? [Reporting bias],What factors contribute to irreproducible publications? [Poor methodology],What factors contribute to irreproducible publications? [Questionable statistical validity],What factors contribute to irreproducible publications? [Poor/inadequate analysis],What factors contribute to irreproducible publications? [Poor project/experimental design],What factors contribute to irreproducible publications? [Inadequate peer review],What factors contribute to irreproducible publications? [Pressure to publish],What factors contribute to irreproducible publications? [Insufficient mentoring/supervision],What factors contribute to irreproducible publications? [Fraud],Please specify any other factors you think are important?,How could reproducibility be improved by authors? [Publish derived data (e.g. seismic horizons)],How could reproducibility be improved by authors? [Clearer separation of raw data from interpretation],How could reproducibility be improved by authors? [Detailed methods explanation],How could reproducibility be improved by authors? [More robust project/experimental design],How could reproducibility be improved by authors? [Increased statistical understanding],How could reproducibility be improved by authors? [Better teaching and mentoring],How could reproducibility be improved by authors? [Increased collaboration between research groups],How could reproducibility be improved by authors? [Pre-registration of hypotheses to third party (e.g. journal or external researcher)],Please specify any other factors you think are important?,"How could reproducibility be improved by societies (e.g. EGU, AGU, AAPG) and journals? [Incentives to publish reproduction studies]","How could reproducibility be improved by societies (e.g. EGU, AGU, AAPG) and journals? [Increased journal standards]","How could reproducibility be improved by societies (e.g. EGU, AGU, AAPG) and journals? [Modified journal correction process]","How could reproducibility be improved by societies (e.g. EGU, AGU, AAPG) and journals? [Incentives for replication studies]","How could reproducibility be improved by societies (e.g. EGU, AGU, AAPG) and journals? [Pre-registration of hypotheses to journal]",Please specify any other factors you think are important?
2020/06/02 10:35:52 AM GMT+1,Geology,Industry,Oil & Gas,Doctoral (PhD),5-Oct,Yes (sometimes),No,Yes (major),6,No,,No,,No,,No,Often,Sometimes,Sometimes,Sometimes,Rarely,Often,Sometimes,Sometimes,,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,,Maybe,Yes,Yes,Maybe,Yes,Maybe,Yes,Yes,,Yes,Maybe,Maybe,Yes,Yes,
2020/06/02 10:39:52 AM GMT+1,Geology,Academia,"Research, Teaching and Communication","Masters (MSci, MSc, MS)",0-5,Yes (sometimes),No,Yes (minor),7,No,,No,,No,,No,Often,Sometimes,Often,Rarely,Rarely,Sometimes,Sometimes,Often,,Often,Sometimes,Often;Rarely,Sometimes,Sometimes,Rarely,Often,Sometimes,Rarely,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Maybe,,Yes,Yes,Yes;Maybe,Maybe,No,
2020/06/02 10:52:41 AM GMT+1,Geology & Geophysics,Government,"Research, Teaching and Communication","Masters (MSci, MSc, MS)",20+,Yes (sometimes),Yes (regularly),Yes (major),7,Yes,Repeating work from early 1990s using new software but same data for internal and client reporting ,Yes,Both in internal reports synthesising external sources and comments on papers I'm reviewing ,Yes,I've commented in open external review on deficiencies in a paper which was ultimately rejected ,No,Sometimes,Sometimes,Often,Rarely,Sometimes,Often,Often,Often,Lack of care / time rather than the deliberate desire to mislead   ,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Peer-review process being conducted too quickly for adequate checking by some journals ,Yes,Yes,Yes,,Yes,Maybe,Maybe,Yes,Often methods sections are compressed to make journal page / word limits. Complex analyses require a complex explanation which can't be done easily in a few hundred words  ,Yes,Yes,Yes,Yes,Maybe,"Lack of time, complex work is slow "
2020/06/02 11:13:36 AM GMT+1,Geology & Geophysics,Academia,"Research, Teaching and Communication",Post-Doctoral,15-20,Yes (sometimes),Yes (regularly),Yes (major),8,Yes,"reproduce analysis based on new software, algorithm and advanced technics.",Yes,attempted to access some public data but found major issues with access due to loss of original tapes...,No,,No,Often,Often,Sometimes,Often,Often,Often,Sometimes,Often,"human behaviour, ""the precious"" data/results are mine (for many authors)!",Often,Often,Often,Often,Often,Often,Often,Often,Often,"Methodology, even after so many years and papers published you end up with reviews like this: 'I don't believe in seismic facies'... 'why don't you calibrate with a synthetic seismogram'... sometime people do not read the papers and fails to understand the limits of the quest (sometime the data are processed but with no informations, or there is just no well to calibrate the subsurface)...",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,limitation due to cost and COI.,Yes,Yes,Yes,Yes,Yes,"end with costly manuscript, this could open our community to many people"
2020/06/02 11:23:15 AM GMT+1,Geology,Industry,"Research, Teaching and Communication;Oil & Gas;Renewable Energy",Doctoral (PhD),20+,Yes (sometimes),No,Yes (minor),3,Yes,"As an example, I plotted fracture data in Excel after building a stereonet there. I then reproduced this in python using mplstereonet. ",Yes,I tried and failed to reproduce borehole breakout studies by the Stanford Rock fracture project.,No,,Yes,Often,Sometimes,Sometimes,Often,Often,Often,Sometimes,Sometimes,,Sometimes,Sometimes,,,,,,,,Lack of data,Yes,Yes,Yes,,,,,,Data repositories,Yes,No,,Yes,No,Journals are no longer the answer.
2020/06/02 11:25:10 AM GMT+1,Geology,Academia,"Research, Teaching and Communication","Bachelors (BSc, BS)",0-5,Yes (sometimes),Yes (regularly),Yes (major),4,Yes,Iâ€™ve recreated fault throw-length plots to see if I got the same results ,No,,No,,No,Often,Often,Often,Sometimes,Sometimes,Often,Often,Often,,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,Maybe,Maybe,Maybe,Maybe,Maybe,Maybe,Yes,No,,Maybe,Maybe,Yes,Yes,No,
2020/06/02 11:37:47 AM GMT+1,Geology,Academia,"Research, Teaching and Communication;Oil & Gas","Masters (MSci, MSc, MS)",0-5,Yes (regularly),Yes (regularly),Yes (major),1,No,,No,,No,,Yes,Often,Often,Often,Rarely,Sometimes,Often,Sometimes,Often,Lack of funding for reproducibility studies - i.e. lack of time for such studies and lack of recognition in academia,,,,,,,,,,People don't have time and incentive to care. It's publish or perish.,Yes,Yes,Maybe,Maybe,Yes,Yes,Yes,Maybe,Time/Funding and the requirement to make studies reproducible.,Yes,Yes,Yes,Yes,Maybe,
2020/06/02 11:40:41 AM GMT+1,Geology,Academia,"Research, Teaching and Communication;Oil & Gas;Renewable Energy;Natural Hazards & Risk",Post-Doctoral,Oct-15,Unsure,Yes (regularly),Yes (minor),6,Yes,tryied to apply concepts based on metrics or processes. apply the concept to different datasets is where things may fall apart.,Yes,"apply definitions, geometries, processes that were classified in other works",No,,No,Often,Sometimes,Often,Sometimes,Sometimes,Often,Often,Often,,Sometimes,Often,Often,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,,Maybe,Yes,Maybe,Maybe,Yes,Maybe,Yes,Maybe,,Yes,Maybe,Maybe,Yes,No,
2020/06/02 11:47:52 AM GMT+1,Geology,Academia,"Research, Teaching and Communication;Mining & Quarrying;Oil & Gas;Renewable Energy;Natural Hazards & Risk","Masters (MSci, MSc, MS)",0-5,Unsure,Yes (regularly),Yes (minor),6,Yes,The data is still not published but I remapped structures and sills in seismic data and quantified geometries to reproduce the dataset. ,Yes,"I once tried to reproduce a geodynamic model, which didn't work because the authors used a different rheology than described in the publication. 
An other study I reproduced was an analytical study, which worked well.",No,,Yes,Often,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Rarely,,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,,Yes,Maybe,Yes,Maybe,Yes,Yes,Yes,Maybe,,Maybe,Maybe,Yes,Maybe,Maybe,
2020/06/02 11:53:50 AM GMT+1,Geology & Geophysics,Academia,"Research, Teaching and Communication;Oil & Gas",Doctoral (PhD),Oct-15,Yes (sometimes),Yes (regularly),Yes (major),7,No,,Yes,,No,,Yes,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,,Yes,Maybe,Yes,Maybe,Maybe,Maybe,Maybe,Maybe,,Yes,Maybe,Maybe,Yes,Maybe,
2020/06/02 12:08:08 PM GMT+1,Geology,Industry,Oil & Gas,"Masters (MSci, MSc, MS)",0-5,Yes (sometimes),Yes (sometimes),Yes (major),8,Yes,"As i obtained more data, the more interpretation i can make. ",Yes,"A big map doesnt help the smaller area. So frequently, we revise the gde map created by some previous literatures. We make the map that is based on our specific area",No,,No,Often,Often,Often,Sometimes,Sometimes,Often;Sometimes,Often;Sometimes,Often;Sometimes,-,Sometimes,Often,Often,Often,Often,Often;Sometimes,Sometimes,Often;Sometimes,Often;Sometimes,,Yes,Yes,Yes;Maybe,Yes;Maybe,Yes;Maybe,Maybe,Yes;Maybe,Maybe,,Maybe,Maybe,Maybe,Maybe,Maybe,
2020/06/02 12:14:52 PM GMT+1,Geology & Geophysics,Industry,"Research, Teaching and Communication;Oil & Gas;Renewable Energy",Post-Doctoral,Oct-15,Yes (regularly),No,Yes (minor),7,Yes,Reservoir volumes,Yes,Reservoir volumes,No,,No,Often,Often,Rarely,Often,Sometimes,Rarely,Often,Often,,Often,Often,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,,Yes,Yes,Yes,Yes,Yes,Maybe,Maybe,No,,Yes,Yes,Yes,Yes,Yes,
2020/06/02 12:20:02 PM GMT+1,Geology & Geophysics,Industry,Oil & Gas,"Masters (MSci, MSc, MS)",20+,Yes (sometimes),Yes (sometimes),Yes (major),3,,,Yes,"Seismic interpretation of regional 2d seismic - overall framework is reproducible but detailed correlation and seismic strat interpretation is ""in the eye of the beholder""",No,,No,Often,Sometimes,,Sometimes,,,Sometimes,Often,,Sometimes,Sometimes,Often,,,,,,,Desire to over interpret data to produce models at a level of detail that the underlying data frequently does not support.,Yes,Yes,Yes,,,,,,Increased emphasis and formal definition of degree of confidence in an interpretation,Maybe,,,,,
2020/06/02 12:24:39 PM GMT+1,Geoscience data,Industry,Oil & Gas;Renewable Energy,"Bachelors (BSc, BS)",20+,Yes (regularly),No,Yes (major),3,No,,No,,No,,No,Sometimes,,,,,,Often,,Lack of due process and poor assurance ,,Often,,Sometimes,Sometimes,Often,,Sometimes,,"Interpreted data is constantly changing and individuals donâ€™t, canâ€™t or wonâ€™t take snapshots ",,Yes,Yes,Yes,,,,,Fundamental expectation of reproducibility and showing data and documenting the process,,,,,,
2020/06/02 12:27:13 PM GMT+1,Geology,Academia;Industry,"Research, Teaching and Communication;Oil & Gas",Post-Doctoral,5-Oct,No,Yes (sometimes),Yes (minor),5,No,,No,,No,,No,Often,Often,Often,Sometimes,Sometimes,Often,Often,Sometimes,,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Rarely,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Maybe,,Yes,Yes,Yes,Yes,Maybe,
2020/06/02 1:01:59 PM GMT+1,Geology,Academia,Oil & Gas,Post-Doctoral,Oct-15,Yes (sometimes),Yes (sometimes),Yes (major),1,Yes,,Yes,,No,,Yes,Often,Sometimes,Often,Often,Often,Often,Often,Often,,Sometimes,Often,Often,Often,Often,Sometimes,Often,Often,Sometimes,,Yes,Yes,Yes,Yes,Yes,Yes,Maybe,Maybe,,Yes,Yes,Maybe,Yes,Maybe,
2020/06/02 1:05:45 PM GMT+1,Geology & Geophysics,Academia,,Doctoral (PhD),Oct-15,No,Yes (regularly),Unsure,6,No,,No,,No,,No,Sometimes,Often,Often,Rarely,Rarely,Sometimes,Sometimes,Often;Sometimes,,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,No,Maybe,Maybe,Maybe,No,No,No,No,,Maybe,No,No,Maybe;No,No,
2020/06/02 1:22:59 PM GMT+1,Geology & Geophysics,Industry,Oil & Gas,"Masters (MSci, MSc, MS)",5-Oct,Yes (regularly),Yes (sometimes),Yes (minor),5,Yes,Exploration prospects need reproducibility and as such must be revisited multiple times ,Yes,"They are imperfect results because we do not have access to the same datasets. But methodology can be applied in other basins but unclear if results are ""reproducing""",No,,No,Often,Sometimes,Often,Often,Often,Often,Often,Often,Limited documentation of project methodology combined with authors not providing 100% of interpretation for download,Often,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes,No,
2020/06/02 1:28:38 PM GMT+1,Geology & Geophysics,Academia,"Research, Teaching and Communication;Oil & Gas",Post-Doctoral,5-Oct,Yes (sometimes),Yes (regularly),Yes (major),5,Yes,My research involve numerical modelling (Geodynamic or Kinematic) and with time computational tools improve and new ones are made available. I sometime revisit previous work that I did and try to reproduce it using new modelling methods... when time permits.,Yes,"With one of the PhD student in our research group we took the task to reproduce some gravity modelling that was published. The published work used gravity modelling to constrain the crustal architecture of an offshore basin.
We tried to reproduce the published results using two different modelling tools that we were familiar with. Our modelling results were comparable but very different from what was published. Unfortunately, the software used in the published work is proprietary, which prevents us from validating the method used.",No,,Yes,Often,Often,Often,Rarely,Rarely,Often,Sometimes,Sometimes,,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Often,Sometimes,Rarely,,Yes,Yes,Yes,Yes,Maybe,Maybe,Yes,No,,Yes,No,Maybe,Yes,No,
2020/06/02 1:31:10 PM GMT+1,Geology,Academia,Renewable Energy;CCS,Post-Doctoral,0-5,Unsure,Yes (regularly),Yes (major),2,Yes,"It isn't related to subsurface data, but to xrf-core scan data, which s recently published. In an upcoming paper, we go deeper in the statistical analysis of these xrf data, and we try to reproduce and test the robustness of our published results using new methods",No,,Yes,In prep. ,Yes;No,Often,Sometimes,Often,Sometimes,Sometimes,Often,Often,Often,"Interest of the community for such studies, time people can allow to them, and difficulty to get findings for that. It's hard to convince funding organisations that you want money to redo something that has been done already. ",Sometimes,Sometimes,Sometimes,Sometimes,Often,Often,Often,Often,Rarely,,Yes,Yes,Maybe,Maybe,Maybe,Maybe,Yes,No,"Convince people that reproducibility is something that everyone should do, or at least, try to do every now and then. Similarly, we should also convince journals that reproducibility studies (as well as negative results) should be published and and valued like any other study. ",Yes,Yes,Yes;Maybe,Yes,Maybe;No,
2020/06/02 1:32:52 PM GMT+1,Geology,Academia,"Research, Teaching and Communication;Oil & Gas;Renewable Energy",Post-Doctoral,Oct-15,Yes (sometimes),Yes (regularly),Yes (major),3,No,,No,,No,,No,Often,Sometimes,Sometimes,Rarely,Sometimes,Often,Sometimes,Often,,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,,Yes,Yes,Maybe,Maybe,Maybe,Yes,Maybe,No,,Yes,Yes,Maybe,Maybe,No,
